sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status
48,-30,1,17,10,0,,,-3
49,-30,1,31,8,0,,,-3
50,-30,1,15,8,0,,,-3
51,-30,1,1,6,0,,,-3
52,-30,1,9,8,0,,,-3
53,-29,1,231,6,0,,,-3
54,-29,1,16,8,0,,,-3
55,-29,1,8,12,0,,,-3
56,-29,1,37,4,0,,,-3
57,-29,1,13,8,0,,,-3
58,-29,1,14,6,0,,,-3
59,-29,1,47,7,0,,,-3
60,-28,1,9,6,0,,,-3
61,-28,1,4,6,0,,,-3
62,-28,1,25,4,0,,,-3
63,-27,1,7,9,0,,,-3
64,-26,1,22,6,0,,,-3
65,-26,1,148,8,0,,,-3
66,-26,1,0,2,0,,,-3
67,-26,1,152,10,0,,,-3
68,-26,1,44,3,0,,,-3
69,-26,1,17,10,0,,,-3
70,-26,1,173,6,0,,,-3
71,-26,1,10,7,0,,,-3
72,-26,1,35,3,0,,,-3
73,-25,1,23,11,0,,,-3
74,-25,1,44,6,0,,,-3
75,-25,1,9,6,0,,,-3
76,-25,1,35,4,0,,,-3
77,-25,1,137,9,0,,,-3
78,-25,1,118,2,0,,,-3
79,-25,1,1,6,0,,,-3
80,-25,1,32,5,0,,,-3
81,-24,1,29,8,0,,,-3
82,-23,1,43,8,0,picker-1,,-1
83,-23,1,27,8,0,picker-1,,-1
84,-23,1,0,6,0,picker-1,,-1
85,-23,1,26,8,0,picker-1,,-1
86,-23,1,6,9,0,picker-1,,-1
87,-23,1,30,10,0,picker-1,,-1
88,-22,1,358,10,0,,,-3
89,-21,1,0,2,0,picker-1,,-1
90,-21,1,14,6,0,picker-1,67.0,-1
91,-20,1,1,9,0,,,-3
92,-20,1,14,10,0,,,-3
93,-20,1,31,10,0,,,-3
94,-20,1,81,9,0,,,-3
95,-20,1,13,10,0,,,-3
96,-20,1,2,2,0,,,-3
97,-20,1,390,4,0,,,-3
98,-20,1,48,1,0,,,-3
99,-19,1,229,8,0,,,-3
100,-19,1,481,6,0,,,-3
101,-18,1,6,11,0,,,-3
102,-18,1,143,5,0,,,-3
103,-17,1,205,5,0,picker-0,170.0,0
104,-17,1,42,11,0,picker-0,,-1
105,-17,1,371,3,0,picker-0,296.0,0
106,-17,1,4,7,0,picker-0,64.0,0
107,-17,1,13,4,0,picker-0,,-1
108,-17,1,302,7,0,picker-0,95.0,0
109,-16,1,5,10,0,,,-3
110,-16,1,112,5,0,,,-3
111,-15,1,82,3,0,,,-3
112,-15,1,96,10,0,,,-3
113,-15,1,36,8,0,,,-3
114,-14,1,42,10,0,,,-3
115,-14,1,120,2,0,,,-3
116,-14,1,30,9,0,,,-3
117,-13,1,1,6,0,,,-3
118,-12,1,15,2,0,,,-3
119,-11,1,9,9,0,,,-3
120,-11,1,237,7,0,,,-3
121,-10,1,165,3,0,,,-3
122,-10,1,3,4,0,,,-3
123,-10,1,4,9,0,,,-3
124,-10,1,48,8,0,,,-3
125,-9,1,6,6,0,,,-3
126,-8,1,18,6,0,picker-1,135.0,0
127,-8,1,49,10,0,picker-1,,-1
128,-8,1,2,7,0,picker-1,,-1
129,-8,1,32,12,0,picker-1,122.0,0
130,-8,1,47,8,0,picker-1,,-1
131,-8,1,218,2,0,picker-1,99.0,0
132,-8,1,141,7,0,picker-1,139.0,0
133,-7,1,160,8,0,picker-0,,-1
134,-7,1,0,8,0,picker-0,,-1
135,-7,1,2,6,0,picker-0,,-1
136,-7,1,1,6,0,picker-0,,-1
137,-7,1,130,7,0,picker-0,,-1
138,-6,1,89,1,0,,,-3
139,-5,1,2,9,0,picker-0,,-1
140,-5,1,33,7,0,picker-0,,-1
141,-4,1,97,10,0,picker-1,114.0,-1
142,-4,1,4,10,0,picker-1,27.0,-1
143,-4,1,0,5,0,picker-1,,-1
144,-3,1,20,4,0,,,-3
145,-2,1,2,5,0,picker-0,60.0,-1
146,-1,1,28,8,0,,,-3
147,-1,1,214,8,0,,,-3
148,0,1,10,4,240,,,-3
149,0,1,27,9,240,,,-3
150,1,1,40,10,240,,,-3
151,2,1,346,2,300,,,-3
152,2,1,12,8,300,,,-3
153,2,1,89,11,300,,,-3
154,2,1,48,4,300,,,-3
155,2,1,271,6,300,,,-3
156,2,1,47,8,300,,,-3
157,3,1,118,8,300,,,-3
158,4,1,14,4,360,,,-3
159,4,1,184,10,360,,,-3
160,5,1,34,3,360,,,-3
161,6,1,5,8,420,,,-3
162,6,1,49,4,420,,,-3
163,6,1,3,7,420,,,-3
164,7,1,108,2,420,,,-3
165,8,1,0,2,480,,,-3
166,9,1,175,5,480,,,-3
167,9,1,265,6,480,,,-3
168,10,1,35,3,480,,,-3
169,11,1,423,8,600,,,-3
170,11,1,70,6,600,,,-3
171,12,1,14,5,660,,,-3
172,12,1,48,4,660,,,-3
173,12,1,40,6,660,,,-3
174,13,1,39,4,660,,,-3
175,13,1,95,2,660,,,-3
176,13,1,179,8,660,,,-3
177,13,1,9,7,660,,,-3
178,13,1,2,4,660,,,-3
179,13,1,49,10,660,,,-3
180,13,1,40,8,660,,,-3
181,13,1,154,1,660,,,-3
182,13,1,54,8,660,,,-3
183,14,1,108,4,660,,,-3
184,15,1,31,2,660,,,-3
185,15,1,43,8,660,,,-3
186,16,1,0,7,720,,,-3
187,17,1,192,4,720,,,-3
188,17,1,43,7,720,,,-3
189,17,1,38,5,720,,,-3
190,17,1,118,5,720,,,-3
191,18,1,268,4,780,,,-3
192,19,1,128,6,840,,,-3
193,19,1,60,8,840,,,-3
194,19,1,135,8,840,,,-3
195,19,1,498,6,840,,,-3
196,19,1,64,10,840,,,-3
197,19,1,16,4,840,,,-3
198,19,1,66,5,840,,,-3
199,19,1,14,6,840,,,-3
200,19,1,96,9,840,,,-3
201,19,1,174,4,840,,,-3
202,19,1,3,3,840,,,-3
203,19,1,6,8,840,,,-3
204,19,1,220,6,840,,,-3
205,20,1,19,10,840,,,-3
206,21,1,30,8,840,,,-3
207,21,1,28,6,840,,,-3
208,21,1,40,8,840,,,-3
209,21,1,78,8,840,,,-3
210,21,1,85,8,840,,,-3
211,21,1,223,12,840,,,-3
212,22,1,46,9,840,,,-3
213,22,1,7,8,840,,,-3
214,22,1,17,9,840,,,-3
215,22,1,111,12,840,,,-3
216,23,1,57,7,900,,,-3
217,23,1,49,8,900,,,-3
218,23,1,14,10,900,,,-3
219,24,1,48,4,900,,,-3
220,24,1,13,4,900,,,-3
221,24,1,193,12,900,,,-3
222,24,1,7,6,900,,,-3
223,24,1,163,6,900,,,-3
224,24,1,5,8,900,,,-3
225,25,1,110,6,960,,,-3
226,25,1,7,2,960,,,-3
227,25,1,6,12,960,,,-3
228,25,1,71,10,960,,,-3
229,25,1,13,8,960,,,-3
230,25,1,37,11,960,,,-3
231,26,1,17,10,1020,,,-3
232,26,1,41,8,1020,,,-3
233,26,1,19,11,1020,,,-3
234,26,1,9,4,1020,,,-3
235,26,1,91,7,1020,,,-3
236,26,1,139,7,1020,,,-3
237,27,1,43,8,1080,,,-3
238,27,1,112,12,1080,,,-3
239,27,1,340,11,1080,,,-3
240,27,1,90,6,1080,,,-3
241,28,1,33,6,1080,,,-3
242,29,1,89,6,1140,,,-3
243,29,1,15,2,1140,,,-3
244,30,1,113,5,1200,,,-3
245,31,1,150,4,1200,,,-3
246,31,1,137,10,1200,,,-3
247,31,1,9,8,1200,,,-3
248,31,1,59,4,1200,,,-3
249,31,1,197,3,1200,,,-3
250,31,1,1,6,1200,,,-3
251,32,1,39,9,1260,,,-3
252,32,1,10,6,1260,,,-3
253,32,1,60,5,1260,,,-3
254,33,1,6,8,1260,,,-3
255,33,1,30,5,1260,,,-3
256,33,1,15,2,1260,,,-3
257,33,1,440,9,1260,,,-3
258,34,1,7,6,1260,,,-3
259,34,1,352,8,1260,,,-3
260,34,1,64,7,1260,,,-3
261,34,1,6,6,1260,,,-3
262,34,1,10,3,1260,,,-3
263,34,1,73,4,1260,,,-3
264,34,1,181,5,1260,,,-3
265,34,1,4,5,1260,,,-3
266,34,1,46,5,1260,,,-3
267,35,1,104,10,1260,,,-3
268,35,1,14,11,1260,,,-3
269,35,1,19,8,1260,,,-3
270,35,1,24,9,1260,,,-3
271,35,1,17,6,1260,,,-3
272,36,1,193,8,1440,,,-3
273,36,1,4,10,1440,,,-3
274,37,1,9,7,1500,,,-3
275,37,1,64,4,1500,,,-3
276,37,1,362,2,1500,,,-3
277,37,1,0,9,1500,,,-3
278,38,1,39,2,1560,,,-3
279,38,1,31,9,1560,,,-3
280,38,1,4,8,1560,,,-3
281,38,1,20,8,1560,,,-3
282,38,1,124,8,1560,,,-3
283,38,1,352,6,1560,,,-3
284,38,1,28,7,1560,,,-3
285,38,1,0,7,1560,,,-3
286,38,1,13,3,1560,,,-3
287,39,1,37,8,1560,,,-3
288,40,1,46,6,1620,,,-3
289,41,1,3,4,1620,,,-3
290,42,1,129,6,1740,,,-3
291,42,1,8,10,1740,,,-3
292,43,1,8,8,1740,,,-3
293,43,1,2,5,1740,,,-3
294,44,1,0,10,1920,,,-3
295,45,1,8,7,1920,,,-3
296,45,1,123,5,1920,,,-3
297,45,1,133,9,1920,,,-3
298,45,1,98,4,1920,,,-3
299,45,1,83,5,1920,,,-3
300,45,1,1,3,1920,,,-3
301,45,1,34,4,1920,,,-3
302,45,1,151,5,1920,,,-3
303,45,1,43,9,1920,,,-3
304,45,1,20,5,1920,,,-3
305,45,1,49,2,1920,,,-3
306,46,1,7,8,1980,,,-3
307,46,1,353,9,1980,,,-3
308,46,1,300,6,1980,,,-3
309,47,1,193,7,2040,,,-3
310,47,1,41,6,2040,,,-3
311,47,1,312,8,2040,,,-3
312,47,1,7,10,2040,,,-3
313,47,1,25,10,2040,,,-3
314,47,1,280,7,2040,,,-3
315,47,1,148,6,2040,,,-3
316,47,1,38,2,2040,,,-3
317,47,1,1,8,2040,,,-3
318,47,1,13,8,2040,,,-3
319,48,1,4,3,2160,,,-3
320,49,1,14,11,2280,,,-3
321,49,1,103,6,2280,,,-3
322,49,1,17,4,2280,,,-3
323,50,1,203,8,2400,,,-3
324,50,1,12,4,2400,,,-3
325,50,1,113,7,2400,,,-3
326,50,1,13,9,2400,,,-3
327,50,1,110,2,2400,,,-3
328,51,1,31,10,2400,,,-3
329,51,1,122,6,2400,,,-3
330,51,1,98,4,2400,,,-3
331,51,1,44,4,2400,,,-3
332,51,1,149,2,2400,,,-3
333,51,1,55,4,2400,,,-3
334,51,1,6,11,2400,,,-3
335,52,1,11,10,2520,,,-3
336,52,1,44,7,2520,,,-3
337,52,1,1,3,2520,,,-3
338,52,1,40,5,2520,,,-3
339,52,1,8,6,2520,,,-3
340,52,1,122,4,2520,,,-3
341,53,1,16,10,2700,,,-3
342,54,1,32,9,2760,,,-3
343,54,1,367,8,2760,,,-3
344,55,1,110,7,2880,,,-3
345,55,1,17,8,2880,,,-3
346,55,1,5,10,2880,,,-3
347,55,1,231,11,2880,,,-3
348,56,1,27,10,2880,,,-3
349,56,1,31,11,2880,,,-3
350,56,1,36,2,2880,,,-3
351,57,1,0,3,2940,,,-3
352,57,1,192,4,2940,,,-3
353,57,1,29,2,2940,,,-3
354,58,1,41,4,2940,,,-3
355,58,1,163,4,2940,,,-3
356,58,1,30,8,2940,,,-3
357,58,1,232,6,2940,,,-3
358,58,1,369,5,2940,,,-3
359,58,1,23,8,2940,,,-3
360,59,1,107,4,3000,,,-3
361,59,1,50,2,3000,,,-3
362,59,1,22,6,3000,,,-3
363,59,1,167,5,3000,,,-3
364,59,1,187,1,3000,,,-3
365,60,1,109,3,3060,,,-3
366,60,1,31,6,3060,,,-3
367,61,1,60,2,3060,,,-3
368,61,1,123,8,3060,,,-3
369,61,1,9,8,3060,,,-3
370,61,1,3,9,3060,,,-3
371,62,1,348,4,3180,,,-3
372,63,1,8,8,3180,,,-3
373,63,1,1,6,3180,,,-3
374,64,1,35,4,3240,,,-3
375,64,1,14,10,3240,,,-3
376,65,1,9,4,3240,,,-3
377,65,1,44,3,3240,,,-3
378,65,1,86,3,3240,,,-3
379,66,1,25,10,3240,,,-3
380,67,1,89,8,3300,,,-3
381,67,1,13,12,3300,,,-3
382,67,1,62,6,3300,,,-3
383,68,1,347,5,3360,,,-3
384,68,1,0,8,3360,,,-3
385,68,1,18,4,3360,,,-3
386,68,1,282,10,3360,,,-3
387,69,1,10,10,3360,,,-3
388,69,1,72,7,3360,,,-3
389,69,1,19,8,3360,,,-3
390,69,1,202,6,3360,,,-3
391,69,1,45,10,3360,,,-3
392,69,1,138,10,3360,,,-3
393,69,1,5,10,3360,,,-3
394,69,1,0,8,3360,,,-3
395,70,1,42,9,3360,,,-3
396,71,1,1,4,3360,,,-3
397,71,1,64,3,3360,,,-3
398,71,1,280,7,3360,,,-3
399,72,1,4,7,3420,,,-3
400,72,1,3,2,3420,,,-3
401,72,1,1,4,3420,,,-3
402,72,1,59,8,3420,,,-3
403,72,1,11,5,3420,,,-3
404,72,1,28,9,3420,,,-3
405,72,1,48,8,3420,,,-3
406,72,1,38,7,3420,,,-3
407,73,1,81,6,3420,,,-3
408,73,1,380,2,3420,,,-3
409,73,1,69,5,3420,,,-3
410,73,1,88,4,3420,,,-3
411,74,1,5,8,3420,,,-3
412,74,1,11,8,3420,,,-3
413,74,1,17,5,3420,,,-3
414,75,1,180,12,3420,,,-3
415,75,1,5,8,3420,,,-3
416,76,1,46,5,3420,,,-3
417,76,1,3,4,3420,,,-3
418,76,1,142,8,3420,,,-3
419,77,1,1,8,3480,,,-3
420,77,1,65,7,3480,,,-3
421,77,1,44,4,3480,,,-3
422,77,1,54,5,3480,,,-3
423,77,1,175,5,3480,,,-3
424,77,1,4,9,3480,,,-3
425,78,1,22,2,3480,,,-3
426,78,1,48,4,3480,,,-3
427,78,1,295,3,3480,,,-3
428,78,1,191,6,3480,,,-3
429,78,1,7,9,3480,,,-3
430,78,1,39,3,3480,,,-3
431,78,1,9,8,3480,,,-3
432,79,1,15,10,3540,,,-3
433,79,1,287,6,3540,,,-3
434,80,1,115,6,3660,,,-3
435,80,1,111,5,3660,,,-3
436,80,1,1,4,3660,,,-3
437,81,1,15,6,3600,,,-3
438,81,1,108,8,3600,,,-3
439,81,1,16,8,3600,,,-3
440,81,1,17,1,3600,,,-3
441,82,1,49,3,3600,,,-3
442,82,1,85,8,3600,,,-3
443,82,1,23,9,3600,,,-3
444,82,1,30,6,3600,,,-3
445,83,1,23,6,3720,,,-3
446,84,1,25,3,3720,,,-3
447,85,1,15,5,3780,,,-3
448,85,1,453,3,3780,,,-3
449,86,1,44,4,3780,,,-3
450,86,1,1,2,3780,,,-3
451,86,1,23,8,3780,,,-3
452,86,1,407,6,3780,,,-3
453,86,1,326,4,3780,,,-3
454,86,1,7,8,3780,,,-3
455,86,1,157,6,3780,,,-3
456,86,1,3,2,3780,,,-3
457,86,1,29,11,3780,,,-3
458,86,1,12,10,3780,,,-3
459,86,1,267,6,3780,,,-3
460,86,1,30,5,3780,,,-3
461,87,1,17,8,3840,,,-3
462,87,1,225,6,3840,,,-3
463,87,1,227,4,3840,,,-3
464,87,1,141,6,3840,,,-3
465,87,1,33,12,3840,,,-3
466,87,1,0,9,3840,,,-3
467,87,1,140,7,3840,,,-3
468,87,1,92,8,3840,,,-3
469,87,1,19,2,3840,,,-3
470,87,1,5,8,3840,,,-3
471,88,1,33,6,3840,,,-3
472,89,1,5,4,3900,,,-3
473,89,1,126,10,3900,,,-3
474,89,1,11,4,3900,,,-3
475,89,1,20,4,3900,,,-3
476,90,1,379,4,3960,,,-3
477,91,1,29,8,3960,,,-3
478,91,1,33,6,3960,,,-3
479,92,1,72,1,3960,,,-3
480,92,1,30,2,3960,,,-3
481,93,1,9,6,4020,,,-3
482,93,1,77,4,4020,,,-3
483,93,1,72,5,4020,,,-3
484,94,1,197,8,4020,,,-3
485,94,1,1,6,4020,,,-3
486,95,1,188,11,4140,,,-3
487,95,1,23,8,4140,,,-3
488,95,1,60,2,4140,,,-3
489,95,1,134,9,4140,,,-3
490,96,1,69,10,4140,,,-3
491,97,1,102,8,4200,,,-3
492,97,1,101,10,4200,,,-3
493,97,1,14,6,4200,,,-3
494,97,1,27,3,4200,,,-3
495,97,1,324,4,4200,,,-3
496,97,1,5,10,4200,,,-3
497,97,1,9,12,4200,,,-3
498,97,1,18,9,4200,,,-3
499,98,1,25,4,4200,,,-3
500,98,1,58,11,4200,,,-3
501,98,1,22,6,4200,,,-3
502,98,1,36,8,4200,,,-3
503,98,1,11,5,4200,,,-3
504,98,1,321,2,4200,,,-3
505,99,1,188,6,4380,,,-3
506,99,1,1,5,4380,,,-3
507,99,1,3,8,4380,,,-3
508,100,1,18,10,4440,,,-3
509,100,1,99,8,4440,,,-3
510,101,1,48,6,4500,,,-3
511,101,1,91,8,4500,,,-3
512,101,1,12,12,4500,,,-3
513,102,1,155,4,4500,,,-3
514,102,1,66,7,4500,,,-3
515,102,1,28,8,4500,,,-3
516,102,1,100,12,4500,,,-3
517,102,1,0,8,4500,,,-3
518,102,1,56,12,4500,,,-3
519,102,1,140,3,4500,,,-3
520,103,1,197,5,4500,,,-3
521,103,1,10,7,4500,,,-3
522,104,1,9,6,4500,,,-3
523,105,1,180,8,4560,,,-3
524,105,1,130,12,4560,,,-3
525,105,1,2,1,4560,,,-3
526,105,1,151,8,4560,,,-3
527,105,1,6,6,4560,,,-3
528,106,1,324,2,4560,,,-3
529,106,1,1,2,4560,,,-3
530,106,1,334,5,4560,,,-3
531,106,1,31,7,4560,,,-3
532,106,1,10,4,4560,,,-3
533,106,1,3,10,4560,,,-3
534,106,1,14,8,4560,,,-3
535,106,1,100,5,4560,,,-3
536,106,1,95,4,4560,,,-3
537,106,1,141,5,4560,,,-3
538,107,1,15,2,4620,,,-3
539,107,1,21,4,4620,,,-3
540,107,1,25,8,4620,,,-3
541,107,1,141,4,4620,,,-3
542,107,1,24,8,4620,,,-3
543,107,1,8,12,4620,,,-3
544,107,1,1,5,4620,,,-3
545,107,1,164,9,4620,,,-3
546,108,1,70,3,4680,,,-3
547,108,1,187,4,4680,,,-3
548,108,1,110,12,4680,,,-3
549,109,1,186,2,4680,,,-3
550,109,1,3,9,4680,,,-3
551,109,1,61,9,4680,,,-3
552,109,1,8,7,4680,,,-3
553,109,1,77,4,4680,,,-3
554,109,1,12,5,4680,,,-3
555,110,1,33,11,4740,,,-3
556,110,1,72,3,4740,,,-3
557,110,1,1,2,4740,,,-3
558,110,1,154,2,4740,,,-3
559,110,1,9,11,4740,,,-3
560,110,1,16,6,4740,,,-3
561,110,1,26,7,4740,,,-3
562,110,1,28,5,4740,,,-3
563,111,1,8,10,4740,,,-3
564,111,1,11,8,4740,,,-3
565,111,1,7,11,4740,,,-3
566,112,1,34,4,4800,,,-3
567,112,1,11,3,4800,,,-3
568,113,1,362,7,4800,,,-3
569,114,1,40,10,4860,,,-3
570,114,1,92,11,4860,,,-3
571,114,1,11,8,4860,,,-3
572,114,1,21,11,4860,,,-3
573,114,1,26,3,4860,,,-3
574,114,1,36,4,4860,,,-3
575,114,1,14,6,4860,,,-3
576,114,1,79,5,4860,,,-3
577,114,1,5,8,4860,,,-3
578,114,1,138,8,4860,,,-3
579,115,1,11,4,4860,,,-3
580,115,1,7,10,4860,,,-3
581,116,1,19,6,4860,,,-3
582,117,1,0,6,4920,,,-3
583,117,1,158,6,4920,,,-3
584,117,1,1,6,4920,,,-3
585,117,1,87,3,4920,,,-3
586,117,1,115,6,4920,,,-3
587,117,1,10,11,4920,,,-3
588,117,1,69,4,4920,,,-3
589,117,1,44,7,4920,,,-3
590,117,1,26,6,4920,,,-3
591,117,1,262,6,4920,,,-3
592,117,1,173,10,4920,,,-3
593,118,1,12,5,4980,,,-3
594,118,1,62,10,4980,,,-3
595,118,1,175,10,4980,,,-3
596,118,1,0,4,4980,,,-3
597,118,1,369,8,4980,,,-3
598,118,1,145,4,4980,,,-3
599,118,1,23,5,4980,,,-3
600,119,1,11,8,4980,,,-3
601,119,1,425,11,4980,,,-3
602,120,1,498,5,5040,,,-3
603,120,1,130,7,5040,,,-3
604,120,1,30,2,5040,,,-3
605,121,1,19,8,5100,,,-3
606,121,1,46,8,5100,,,-3
607,122,1,14,7,5160,,,-3
608,122,1,36,12,5160,,,-3
609,123,1,9,8,5220,,,-3
610,124,1,2,8,5220,,,-3
611,124,1,32,9,5220,,,-3
612,125,1,1,5,5280,,,-3
613,125,1,292,4,5280,,,-3
614,126,1,40,8,5340,,,-3
615,127,1,152,5,5340,,,-3
616,127,1,96,11,5340,,,-3
617,128,1,18,2,5340,,,-3
618,129,1,0,10,5400,,,-3
619,129,1,30,9,5400,,,-3
620,129,1,7,7,5400,,,-3
621,129,1,34,6,5400,,,-3
622,129,1,45,3,5400,,,-3
623,129,1,5,1,5400,,,-3
624,130,1,9,6,5400,,,-3
625,130,1,50,12,5400,,,-3
626,131,1,3,8,5400,,,-3
627,132,1,0,8,5460,,,-3
628,132,1,26,11,5460,,,-3
629,133,1,11,9,5520,,,-3
630,134,1,10,8,5520,,,-3
631,134,1,1,3,5520,,,-3
632,134,1,37,6,5520,,,-3
633,134,1,22,10,5520,,,-3
634,134,1,96,10,5520,,,-3
635,135,1,8,3,5640,,,-3
636,136,1,336,8,5640,,,-3
637,137,1,134,5,5640,,,-3
638,137,1,16,6,5640,,,-3
639,137,1,22,4,5640,,,-3
640,138,1,155,2,5640,,,-3
641,138,1,289,8,5640,,,-3
642,139,1,11,10,5640,,,-3
643,139,1,21,4,5640,,,-3
644,140,1,156,8,5640,,,-3
645,140,1,236,10,5640,,,-3
646,140,1,151,4,5640,,,-3
647,140,1,24,8,5640,,,-3
648,140,1,44,10,5640,,,-3
649,141,1,180,7,5700,,,-3
650,141,1,30,1,5700,,,-3
651,142,1,107,6,5760,,,-3
652,143,1,0,8,5820,,,-3
653,143,1,3,9,5820,,,-3
654,143,1,12,2,5820,,,-3
655,143,1,364,9,5820,,,-3
656,143,1,36,12,5820,,,-3
657,144,1,0,6,5820,,,-3
658,145,1,34,10,5880,,,-3
659,145,1,28,12,5880,,,-3
660,145,1,41,6,5880,,,-3
661,145,1,39,4,5880,,,-3
662,145,1,95,6,5880,,,-3
663,146,1,1,6,5880,,,-3
664,147,1,20,1,5880,,,-3
665,147,1,1,12,5880,,,-3
666,148,1,155,4,5940,,,-3
667,148,1,50,6,5940,,,-3
668,148,1,86,7,5940,,,-3
669,149,1,28,6,5940,,,-3
670,149,1,3,6,5940,,,-3
671,149,1,32,11,5940,,,-3
672,149,1,5,3,5940,,,-3
673,149,1,31,11,5940,,,-3
674,149,1,30,11,5940,,,-3
675,150,1,22,3,5940,,,-3
676,150,1,50,6,5940,,,-3
677,150,1,36,8,5940,,,-3
678,150,1,73,10,5940,,,-3
679,150,1,44,10,5940,,,-3
680,150,1,39,5,5940,,,-3
681,150,1,47,4,5940,,,-3
682,150,1,37,3,5940,,,-3
683,150,1,24,8,5940,,,-3
684,151,1,0,9,6000,,,-3
685,152,1,34,4,6000,,,-3
686,152,1,45,8,6000,,,-3
687,152,1,323,3,6000,,,-3
688,152,1,26,6,6000,,,-3
689,153,1,49,5,6000,,,-3
690,153,1,18,11,6000,,,-3
691,153,1,40,1,6000,,,-3
692,153,1,60,8,6000,,,-3
693,153,1,2,6,6000,,,-3
694,154,1,26,2,6060,,,-3
695,154,1,53,4,6060,,,-3
696,154,1,86,2,6060,,,-3
697,154,1,11,10,6060,,,-3
698,155,1,124,10,6120,,,-3
699,156,1,4,6,6120,,,-3
700,156,1,139,6,6120,,,-3
701,156,1,46,3,6120,,,-3
702,156,1,28,8,6120,,,-3
703,156,1,8,4,6120,,,-3
704,157,1,135,6,6120,,,-3
705,157,1,26,12,6120,,,-3
706,157,1,7,8,6120,,,-3
707,157,1,217,8,6120,,,-3
708,157,1,105,6,6120,,,-3
709,157,1,76,4,6120,,,-3
710,157,1,34,6,6120,,,-3
711,157,1,431,9,6120,,,-3
712,157,1,41,7,6120,,,-3
713,157,1,0,10,6120,,,-3
714,157,1,11,6,6120,,,-3
715,157,1,44,10,6120,,,-3
716,157,1,483,2,6120,,,-3
717,157,1,2,7,6120,,,-3
718,157,1,448,8,6120,,,-3
719,158,1,23,8,6180,,,-3
720,158,1,86,9,6180,,,-3
721,158,1,2,8,6180,,,-3
722,158,1,39,8,6180,,,-3
723,158,1,25,4,6180,,,-3
724,158,1,106,7,6180,,,-3
725,159,1,48,2,6180,,,-3
726,159,1,11,12,6180,,,-3
727,159,1,14,3,6180,,,-3
728,160,1,17,4,6180,,,-3
729,160,1,30,2,6180,,,-3
730,161,1,3,5,6180,,,-3
731,161,1,77,3,6180,,,-3
732,161,1,19,3,6180,,,-3
733,162,1,4,5,6240,,,-3
734,163,1,21,4,6240,,,-3
735,163,1,176,10,6240,,,-3
736,163,1,29,8,6240,,,-3
737,164,1,188,9,6300,,,-3
738,164,1,30,8,6300,,,-3
739,165,1,8,10,6300,,,-3
740,166,1,10,3,6360,,,-3
741,167,1,346,4,6360,,,-3
742,167,1,57,6,6360,,,-3
743,167,1,31,1,6360,,,-3
744,168,1,476,4,6360,,,-3
745,168,1,18,9,6360,,,-3
746,168,1,34,3,6360,,,-3
747,168,1,0,10,6360,,,-3
748,168,1,4,8,6360,,,-3
749,168,1,186,8,6360,,,-3
750,168,1,3,6,6360,,,-3
751,168,1,2,5,6360,,,-3
752,169,1,49,6,6420,,,-3
753,169,1,0,8,6420,,,-3
754,169,1,6,8,6420,,,-3
755,169,1,181,12,6420,,,-3
756,169,1,34,6,6420,,,-3
757,169,1,37,10,6420,,,-3
